院校代号,院校名,专业组号,再选科目要求(原文),subject_requirement,投档最低分,年份,首选(科类)
7205,西北民族大学,01,不限,历史,529,2025,历史
7205,西北民族大学,02,不限,历史,537,2025,历史
7205,西北民族大学,03,不限,历史,536,2025,历史
7205,西北民族大学,04,不限,历史,529,2025,历史
7205,西北民族大学,05,思想政治,历史+思想政治,557,2025,历史
7206,甘肃农业大学,01,不限,历史,542,2025,历史
7207,甘肃政法大学,01,不限,历史,564,2025,历史
7207,甘肃政法大学,02,思想政治,历史+思想政治,563,2025,历史
7211,陇东学院,01,不限,历史,530,2025,历史
7214,西北师范大学,01,不限,历史,549,2025,历史
7214,西北师范大学,02,思想政治,历史+思想政治,565,2025,历史
7216,天水师范大学,01,不限,历史,529,2025,历史
7218,兰州城市学院,01,不限,历史,520,2025,历史
7219,兰州文理学院,01,不限,历史,528,2025,历史
7222,兰州石化职业技术大学,01,不限,历史,523,2025,历史
7224,甘肃中医药大学,01,不限,历史,585,2025,历史
7302,青海民族大学,01,不限,历史,527,2025,历史
7302,青海民族大学,02,不限,历史,525,2025,历史
7302,青海民族大学,03,思想政治,历史+思想政治,545,2025,历史
7303,青海师范大学,01,不限,历史,530,2025,历史
7304,青海职业技术大学,01,不限,历史,519,2025,历史
7401,北方民族大学,01,不限,历史,540,2025,历史
7401,北方民族大学,02,思想政治,历史+思想政治,538,2025,历史
7402,宁夏大学,01,不限,历史,578,2025,历史
7402,宁夏大学,02,不限,历史,587,2025,历史
7501,新疆大学,01,不限,历史,577,2025,历史
7501,新疆大学,02,思想政治,历史+思想政治,571,2025,历史
7502,新疆师范大学,02,不限,历史,533,2025,历史
7502,新疆师范大学,03,不限,历史,540,2025,历史
7502,新疆师范大学,04,思想政治,历史+思想政治,541,2025,历史
7503,新疆农业大学,01,不限,历史,522,2025,历史
7503,新疆农业大学,02,不限,历史,515,2025,历史
7503,新疆农业大学,03,不限,历史,520,2025,历史
7505,新疆财经大学,01,不限,历史,524,2025,历史
7505,新疆财经大学,02,思想政治,历史+思想政治,527,2025,历史
7507,昌吉学院,01,不限,历史,521,2025,历史
7508,新疆艺术学院,01,不限,历史,517,2025,历史
7512,新疆科技学院,01,不限,历史,521,2025,历史
7512,新疆科技学院,02,思想政治,历史+思想政治,520,2025,历史
7513,新疆理工学院,01,不限,历史,519,2025,历史
7521,伊犁师范大学,01,不限,历史,521,2025,历史
7521,伊犁师范大学,02,思想政治,历史+思想政治,523,2025,历史
7521,伊犁师范大学,03,地理,历史+地理,519,2025,历史
7523,新疆和田学院,01,不限,历史,519,2025,历史
7523,新疆和田学院,02,思想政治,历史+思想政治,519,2025,历史
7526,塔里木大学,01,不限,历史,522,2025,历史
7529,喀什大学,01,不限,历史,523,2025,历史
7529,喀什大学,02,思想政治,历史+思想政治,528,2025,历史
7531,新疆政法学院,01,不限,历史,524,2025,历史
7531,新疆政法学院,02,思想政治,历史+思想政治,523,2025,历史
8001,上海杉达学院,01,不限,历史,513,2025,历史
8002,上海建桥学院,01,不限,历史,500,2025,历史
8003,上海兴伟学院,01,不限,历史,482,2025,历史
8004,上海视觉艺术学院,01,不限,历史,520,2025,历史
8005,上海外国语大学贤达经济人文学院,01,不限,历史,494,2025,历史
8006,上海师范大学天华学院,01,不限,历史,496,2025,历史
8023,上海立达学院,01,不限,历史,490,2025,历史
8029,上海中侨职业技术大学,01,不限,历史,489,2025,历史
8030,浙江万里学院,01,不限,历史,519,2025,历史
8031,浙江树人学院,01,不限,历史,494,2025,历史
8032,浙江越秀外国语学院,01,不限,历史,490,2025,历史
8033,宁波财经学院,01,不限,历史,496,2025,历史
8036,浙江工业大学之江学院,01,不限,历史,514,2025,历史
8037,浙江师范大学行知学院,01,不限,历史,510,2025,历史
8038,宁波大学科学技术学院,01,不限,历史,503,2025,历史
8042,浙江农林大学暨阳学院,01,不限,历史,508,2025,历史
8043,温州医科大学仁济学院,01,不限,历史,500,2025,历史
8048,浙江工商大学杭州商学院,01,不限,历史,507,2025,历史
8051,浙江财经大学东方学院,01,不限,历史,503,2025,历史
8052,温州商学院,01,不限,历史,497,2025,历史
8054,上海财经大学浙江学院,01,不限,历史,509,2025,历史
8080,安徽三联学院,01,不限,历史,500,2025,历史
8081,安徽新华学院,01,不限,历史,495,2025,历史
8082,安徽文达信息工程学院,01,不限,历史,498,2025,历史
8083,安徽外国语学院,01,不限,历史,494,2025,历史
8084,蚌埠工商学院,01,不限,历史,507,2025,历史
8086,安徽信息工程学院,01,不限,历史,498,2025,历史
8087,马鞍山学院,01,不限,历史,509,2025,历史
8088,合肥城市学院,01,不限,历史,500,2025,历史
8090,芜湖学院,01,不限,历史,521,2025,历史
8094,皖江工学院,01,不限,历史,501,2025,历史
8121,闽南理工学院,01,不限,历史,507,2025,历史
8124,厦门工学院,01,不限,历史,498,2025,历史
8125,阳光学院,01,不限,历史,489,2025,历史
